underwrittencoverid,policyid,transactionmonth,isvatregistered,citizenship,legaltype,title,language,bank,accounttype,maritalstatus,gender,country,province,postalcode,maincrestazone,subcrestazone,itemtype,mmcode,vehicletype,registrationyear,make,model,cylinders,cubiccapacity,kilowatts,bodytype,numberofdoors,vehicleintrodate,customvalueestimate,alarmimmobiliser,trackingdevice,capitaloutstanding,newvehicle,writtenoff,rebuilt,converted,crossborder,numberofvehiclesinfleet,suminsured,termfrequency,calculatedpremiumperterm,excessselected,covercategory,covertype,covergroup,section,product,statutoryclass,statutoryrisktype,totalpremium,totalclaims,margin
256006,20883,2015-05-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4056,Natal (Durban),Durban,Mobility - Motor,60056987.0,Passenger Vehicle,1970-01-01 00:00:00.000002004,TOYOTA,HiACE SIYAYA,4.0,2237.0,75.0,B/S,4.0,2001-08-01,54000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,54000.0,Monthly,547.9559,Mobility - Taxi with value more than R100 000 - R5 000 (April),Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,217.07364459536,0.0,217.07364459536
73843,6156,2015-01-01,False,  ,Individual,Miss,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1875,Transvaal (all except Pretoria),Transvaal South,Mobility - Motor,60058418.0,Passenger Vehicle,1970-01-01 00:00:00.000002010,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,2010-10-01,220000.0,Yes,Yes,200000.0,More than 6 months,No,No,No,No,,7500.0,Monthly,90.0,No excess,Basic Excess Waiver,Basic Excess Waiver,Basic Excess Waiver,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,78.947368421052,0.0,78.947368421052
77679,6649,2015-03-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Limpopo,902,Transvaal (all except Pretoria),Transvaal North,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002013,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,6.2751,No excess,Cleaning and Removal of Accident Debris,Cleaning and Removal of Accident Debris,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,5.50447368421,0.0,5.50447368421
252776,20883,2015-05-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4056,Natal (Durban),Durban,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,5000.0,Monthly,4.1868,No excess,Keys and Alarms,Keys and Alarms,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1.658607809847,0.0,1.658607809847
119114,9774,2015-03-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,2000,Johannesburg,Johannesburg,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002013,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,280000.0,Yes,Yes,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,7.4949,No excess,Cleaning and Removal of Accident Debris,Cleaning and Removal of Accident Debris,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,6.57447368421,0.0,6.57447368421
93726,8036,2014-11-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,2000,Johannesburg,Johannesburg,Mobility - Motor,60056925.0,Passenger Vehicle,1970-01-01 00:00:00.000002005,TOYOTA,HiACE SUPER 16 F/Lift,4.0,2237.0,75.0,B/S,4.0,1992-11-01,58300.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,3.3066,No excess,Emergency Charges,Emergency Charges,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.900526315789,0.0,2.900526315789
17573,891,2014-06-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,122,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002013,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,2.4803,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.175701754385,0.0,2.175701754385
132924,10401,2015-05-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,122,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002013,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,271800.0,Yes,Yes,271800.0,More than 6 months,No,No,No,No,,271800.0,Monthly,226.4991,No excess,Credit Protection,Credit Protection,Credit Protection,Credit Protection,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,198.683421052632,0.0,198.683421052632
236869,20308,2015-05-01,False,  ,Individual,Mr,English,ABSA Bank,Savings account,Not specified,Not specified,South Africa,Gauteng,1947,Transvaal (all except Pretoria),Transvaal South,Mobility - Motor,60058405.0,Passenger Vehicle,1970-01-01 00:00:00.000002010,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 15s,4.0,2494.0,75.0,B/S,4.0,2010-10-01,211000.0,Yes,Yes,211000.0,More than 6 months,No,No,No,No,,5000.0,Monthly,4.4895,No excess,Keys and Alarms,Keys and Alarms,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,3.938157894736,0.0,3.938157894736
195795,17398,2015-05-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4110,Natal,South Coast,Mobility - Motor,60058407.0,Passenger Vehicle,1970-01-01 00:00:00.000002014,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,2012-04-01,220000.0,Yes,Yes,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,2.7293,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.394122807017,0.0,2.394122807017
18401,326,2014-06-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,186,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058418.0,Passenger Vehicle,1970-01-01 00:00:00.000002010,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,2010-10-01,220000.0,Yes,No,202100.0,More than 6 months,No,No,No,No,,5000.0,Monthly,4.4241,No excess,Keys and Alarms,Keys and Alarms,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,3.880789473684,0.0,3.880789473684
210630,13076,2015-08-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4360,Natal,North Coast,Mobility - Motor,44004616.0,Medium Commercial,1970-01-01 00:00:00.000002012,MERCEDES-BENZ                      ,SPRINTER 515 CDi F/C P/V,4.0,2148.0,65.0,P/V,2.0,2013-10-01,370000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,3500.0,Monthly,3.11,No excess,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.728070175438,0.0,2.728070175438
211423,10440,2015-03-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4074,Natal (Durban),Durban,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002009,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,161000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,2.2466,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1.970701754385,0.0,1.970701754385
155676,14056,2015-03-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Mpumalanga,1021,Transvaal (all except Pretoria),Transvaal East,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,247700.0,Yes,Yes,247700.0,More than 6 months,No,No,No,No,,3500.0,Monthly,2.0679,No excess,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1.813947368421,0.0,1.813947368421
262037,22282,2015-08-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,264,Transvaal (all except Pretoria),Bushveld,Mobility - Motor,47048275.0,Passenger Vehicle,1970-01-01 00:00:00.000002015,NISSAN/DATSUN                      ,NV350 2.5 16 SEAT IMPENDULO,4.0,2488.0,108.0,B/S,4.0,2014-02-01,352800.0,Yes,Yes,325800.0,More than 6 months,No,No,No,No,,7500.0,Monthly,8.2973,No excess,Cleaning and Removal of Accident Debris,Cleaning and Removal of Accident Debris,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,7.278333333333,0.0,7.278333333333
93736,8036,2014-12-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,2000,Johannesburg,Johannesburg,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002007,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,114800.0,Yes,No,0.0,More than 6 months,No,No,No,No,,3500.0,Monthly,1.7758,No excess,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1.557719298245,0.0,1.557719298245
253713,21465,2015-06-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4066,Natal (Durban),Durban,Mobility - Motor,60058407.0,Passenger Vehicle,1970-01-01 00:00:00.000002015,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,2012-04-01,365000.0,Yes,Yes,365000.0,More than 6 months,No,No,No,No,,365000.0,Monthly,1164.1353,Mobility - Taxi with value more than R100 000 - R5 000 (April),Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1021.17131578947,0.0,1021.17131578947
16813,839,2014-12-01,False,  ,Individual,Dr,English,Standard Bank,Savings account,Not specified,Not specified,South Africa,Mpumalanga,2410,Transvaal (all except Pretoria),Transvaal South East,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,220000.0,Yes,No,137800.0,More than 6 months,No,No,No,No,,5000.0,Monthly,2.7897,No excess,Keys and Alarms,Keys and Alarms,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.447105263157,0.0,2.447105263157
139038,12156,2015-03-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,North West,299,Transvaal (all except Pretoria),Transvaal North West,Mobility - Motor,7512100.0,Passenger Vehicle,1970-01-01 00:00:00.000002007,C.A.M,INYATHI,4.0,2237.0,76.0,B/S,4.0,2006-07-01,220000.0,Yes,Yes,70000.0,More than 6 months,No,No,No,No,,70000.0,Monthly,344.7104,Mobility - Taxi with value less than R100 000 - R3 000,Own Damage.,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,302.377543859649,0.0,302.377543859649
256003,21249,2015-08-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,North West,450,Transvaal (all except Pretoria),Transvaal North,Mobility - Motor,60058417.0,Passenger Vehicle,1970-01-01 00:00:00.000002009,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,2009-08-01,167100.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,4.2949,No excess,Cleaning and Removal of Accident Debris,Cleaning and Removal of Accident Debris,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,3.76745614035,0.0,3.76745614035
17168,868,2014-06-01,False,  ,Individual,Mr,English,ABSA Bank,Savings account,Not specified,Not specified,South Africa,Gauteng,122,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058418.0,Passenger Vehicle,1970-01-01 00:00:00.000002011,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,2010-10-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,6.9713,No excess,Cleaning and Removal of Accident Debris,Cleaning and Removal of Accident Debris,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,6.115175438596,0.0,6.115175438596
223607,17390,2015-05-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Married,Not specified,South Africa,North West,458,Transvaal (all except Pretoria),Transvaal North,Mobility - Motor,22850150.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,GOLDEN JOURNEY,MAKOYA 2.4i 16S,4.0,2438.0,102.0,B/S,4.0,2011-10-01,170000.0,Yes,Yes,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,1.4084,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1.235438596491,0.0,1.235438596491
48745,4256,2014-09-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Free State,9869,Oranje Free State,Drakensberg,Mobility - Motor,60056925.0,Passenger Vehicle,1970-01-01 00:00:00.000002006,TOYOTA,HiACE SUPER 16 F/Lift,4.0,2237.0,75.0,B/S,4.0,1992-11-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,0.7875,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,0.690789473684,0.0,0.690789473684
134069,7522,2015-02-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,3610,Natal,Natal 3,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,220000.0,Yes,Yes,136900.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,2.099,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1.841228070175,0.0,1.841228070175
32461,2417,2014-08-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,122,Transvaal (Pretoria),Pretoria,Mobility - Motor,22850150.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,GOLDEN JOURNEY,MAKOYA 2.4i 16S,4.0,2438.0,102.0,B/S,4.0,2011-10-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,3500.0,Monthly,2.2812,No excess,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.001052631578,0.0,2.001052631578
76002,5311,2015-03-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,120,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,5.4742,No excess,Cleaning and Removal of Accident Debris,Cleaning and Removal of Accident Debris,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,4.801929824561,0.0,4.801929824561
262686,22330,2015-06-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,2000,Johannesburg,Johannesburg,Mobility - Motor,60058405.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 15s,4.0,2494.0,75.0,B/S,4.0,2010-10-01,203700.0,Yes,No,0.0,More than 6 months,No,No,No,No,,3500.0,Monthly,2.387,No excess,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,0.348976608187,0.0,0.348976608187
76066,5311,2015-08-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,120,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058418.0,Passenger Vehicle,1970-01-01 00:00:00.000002010,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,2010-10-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,6.644,No excess,Cleaning and Removal of Accident Debris,Cleaning and Removal of Accident Debris,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,5.828070175438,0.0,5.828070175438
147429,12562,2015-06-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Western Cape,7100,Cape Province (East and North of Cape Town),East and North of,Mobility - Motor,60058418.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,2010-10-01,247700.0,Yes,Yes,247700.0,More than 6 months,No,No,No,No,,5000.0,Monthly,4.7592,No excess,Keys and Alarms,Keys and Alarms,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,4.174736842105,0.0,4.174736842105
54083,5032,2015-02-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,North West,302,Transvaal (all except Pretoria),Transvaal North West,Mobility - Motor,60058418.0,Passenger Vehicle,1970-01-01 00:00:00.000002009,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,2010-10-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,4.0854,No excess,Cleaning and Removal of Accident Debris,Cleaning and Removal of Accident Debris,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,3.583684210526,0.0,3.583684210526
131271,11143,2015-03-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4240,Natal,South Coast,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002013,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,220000.0,Yes,Yes,321000.0,More than 6 months,No,No,No,No,,7500.0,Monthly,8.7896,No excess,Cleaning and Removal of Accident Debris,Cleaning and Removal of Accident Debris,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,7.710175438596,0.0,7.710175438596
75822,6324,2014-11-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,122,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058407.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,2012-04-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,7.1973,No excess,Emergency Charges,Emergency Charges,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,6.313421052631,0.0,6.313421052631
210618,13076,2015-08-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4360,Natal,North Coast,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,252000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,2.6764,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.347719298245,0.0,2.347719298245
154379,13912,2015-06-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4310,Natal,North Coast,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,220000.0,Yes,Yes,0.0,More than 6 months,No,No,No,No,,0.01,Monthly,25.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,0.0,21.929824561403
150690,11570,2015-08-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Eastern Cape,5920,"Tembu 2, Cape Mid 2, Cape Mid West, Tembu 1",Cape Mid 2,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,220000.0,Yes,Yes,250000.0,More than 6 months,No,No,No,No,,5000.0,Monthly,4.7761,No excess,Keys and Alarms,Keys and Alarms,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,4.189561403508,0.0,4.189561403508
47099,4166,2015-01-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Western Cape,7501,Karoo 1 (Northeast of Cape Town),Northeast of CT,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002005,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,4.9635,No excess,Emergency Charges,Emergency Charges,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,4.353947368421,0.0,4.353947368421
184739,10463,2015-07-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4359,Natal,North Coast,Mobility - Motor,60058418.0,Passenger Vehicle,1970-01-01 00:00:00.000002009,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,2010-10-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,2.3262,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.040526315789,0.0,2.040526315789
151994,13832,2015-06-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Western Cape,7455,Karoo 1 (Northeast of Cape Town),Northeast of CT,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002014,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,282100.0,Yes,Yes,282100.0,More than 6 months,No,No,No,No,,282100.0,Monthly,235.0824,No excess,Credit Protection,Credit Protection,Credit Protection,Credit Protection,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,206.212631578947,0.0,206.212631578947
69918,5133,2015-02-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Mpumalanga,1030,Transvaal (all except Pretoria),Transvaal East,Mobility - Motor,44004610.0,Medium Commercial,1970-01-01 00:00:00.000002008,MERCEDES-BENZ,SPRINTER 416 CDI F/C C/C,5.0,2700.0,115.0,C/C,2.0,2004-05-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,4.5392,No excess,Emergency Charges,Emergency Charges,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,3.981754385964,0.0,3.981754385964
149248,13380,2015-05-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1868,Transvaal (all except Pretoria),Transvaal South,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002015,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,220000.0,Yes,Yes,345000.0,Less than 6 months,No,No,No,No,,3500.0,Monthly,2.7372,No excess,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.401052631578,0.0,2.401052631578
130866,7301,2015-03-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4360,Natal,North Coast,Mobility - Motor,60058415.0,Passenger Vehicle,1970-01-01 00:00:00.000002008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,2007-11-01,220000.0,Yes,Yes,0.0,More than 6 months,No,No,No,No,,7000.0,Monthly,85.0,No excess,Income Protector,Income Protector,Income Protector,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,74.561403508771,0.0,74.561403508771
264531,22510,2015-07-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4359,Natal,North Coast,Mobility - Motor,60058407.0,Passenger Vehicle,1970-01-01 00:00:00.000002015,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,2012-04-01,400000.0,Yes,Yes,400000.0,More than 6 months,No,No,No,No,,3500.0,Monthly,2.8982,No excess,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.132235427277,0.0,2.132235427277
